country,cropname,corr y,corr y-1,corr y+1,argmax,n,p_value
Albania,Barley,-0.4028990081980184,0.14416984871133162,-0.220111062736462,yield_lag,24,0.06367917621797467
Armenia,Oats,-0.0142579186945765,0.49346734612120435,0.2784557378833555,yield_lag,24,0.07216800679465912
Armenia,Wheat,-0.09024001795908922,0.42798341184038435,0.3479237147105741,yield_lag,24,0.07582592752704016
Australia,Barley,0.37424869717953985,-0.04420758021487236,0.7919607499404073,yield_lead,24,0.026815517409529335
Australia,Oats,-0.07097239079686515,0.04083520878949328,0.8384353704524968,yield_lead,24,3.042341911953233e-05
Australia,Wheat,-0.0784012786972603,-0.019016139425552393,0.9071904829539418,yield_lead,24,2.57547407125197e-07
Belgium,Pulses nes,-0.8059041281514897,0.6254703302812986,0.7286322603879352,yield_lead,6,0.012428083162489797
Benin,Potatoes,-0.5647566973971115,-0.008156763902045455,-0.1638715120111312,yield_lag,21,0.05810567531146185
Botswana,Potatoes,-0.10272112536328458,-0.24168529286356036,0.8713524916084538,yield_lead,7,0.04145507194504105
Bulgaria,Pulses nes,-0.18810259032050408,0.4899932036398465,0.07003672944399589,yield_lag,18,0.04665868455641447
Burkina Faso,Potatoes,-0.18847615451107358,0.5148419028380897,-0.18597790951922713,yield_lag,24,0.013783695968366913
Burkina Faso,"Rice, paddy",-0.4644251872412551,0.3624866256709829,-0.06786281098666773,yield_lag,24,0.00423341071534494
Cabo Verde,Sweet potatoes,-0.6393733752942964,-0.4609119910408785,-0.11853365873716067,yield_lead,24,0.0386946205575022
Cameroon,Sweet potatoes,-0.3417624652841991,0.47773951371230916,-0.02368482360895053,yield_lag,22,0.006924816426689492
Colombia,Cassava,0.07923853074764099,0.5653454641133229,-0.21929760712053523,yield_lag,23,0.07592616239786665
Croatia,Pulses nes,-0.7795360192360609,0.18739187784893008,0.8725344964548652,yield_lead,6,0.003450864655753041
Cyprus,Pulses nes,-0.40023184292981817,0.08601549726663915,-0.06392748020173304,yield_lag,24,0.09831327890292507
Czechia,Millet,-0.6064777806631327,0.3650489597123867,-0.11989626731718193,yield_lag,18,0.0029373922384465265
Ecuador,"Groundnuts, with shell",-0.16812398062238834,0.17207847040996632,0.5921736412409305,yield_lead,24,0.005838423398745699
Ecuador,Sweet potatoes,-0.48419037718238905,-0.3300606299071293,0.10807474723482541,yield_lead,24,0.039024554338849264
El Salvador,Seed cotton,-0.5504051859309573,0.12500285197241726,0.10612294124756716,yield_lag,21,0.0254917881301171
Ethiopia,Rapeseed,-0.5887469225796876,-0.09125302181171514,0.20113657090394857,yield_lead,23,0.005406865946406516
Ethiopia,Sunflower seed,-0.39510203055586995,0.41583848220796477,-0.14644735901400527,yield_lag,17,0.022808946341654365
Gabon,"Groundnuts, with shell",-0.45747243351616995,-0.5813205557953354,0.45898211758828306,yield_lead,24,0.001334797829785899
Gabon,Maize,-0.2106611472844336,-0.14735493286336748,0.2948658783048392,yield_lead,24,0.09340515951953664
Hungary,"Rice, paddy",-0.2853554852049042,0.2788233622719146,0.3682880985643252,yield_lead,24,0.027575743164792058
India,Sorghum,0.03925029594149975,-0.08316191333279979,0.6611090007486299,yield_lead,24,0.014359813551386486
Indonesia,Seed cotton,-0.37938267587389884,0.2608173940272934,0.1369720401931115,yield_lag,23,0.03510889188482953
Iran (Islamic Republic of),Rapeseed,-0.49634122877661285,0.13467025414469377,-0.1486583226879907,yield_lag,24,0.02757821434485041
Italy,Sweet potatoes,-0.2338380596481965,0.38832984184574815,-0.35484184031928656,yield_lag,18,0.07592541660111768
Japan,Soybeans,-0.1586407220616653,0.4821831686555232,-0.32678077815275314,yield_lag,24,0.026262981617041596
Lebanon,Sugar beet,-0.07822213787557507,0.5899938783735384,0.21002830339432615,yield_lag,22,0.019791963314309474
Lesotho,Oats,-0.28988192582194267,-0.4334155702940741,0.4639509126386463,yield_lead,24,0.009464695617340846
Lithuania,Soybeans,-0.5946858486101891,-0.32237924769240145,0.6352388431809488,yield_lead,6,0.07882370734251781
Luxembourg,Soybeans,-0.7500386177706738,0.995387322147835,0.20290866981025063,yield_lag,4,0.004596378274918866
Madagascar,Soybeans,-0.42799051835755775,0.1136624566435432,-0.04112541206598316,yield_lag,23,0.07068039360773032
Malaysia,Pulses nes,-0.7127463905660433,0.9987544538117057,0.19054172748735662,yield_lag,4,0.0011922040152730095
Mali,Yams,0.2091533865612282,0.37586370442943273,0.6339622646533052,yield_lead,24,0.08257168142920225
Mauritania,"Rice, paddy",0.07267308273606854,-0.3766242034836338,0.5910718153847087,yield_lead,24,0.04937741485065913
Mexico,Cassava,-0.32600578347021275,0.27863121613866676,0.05727329196627023,yield_lag,23,0.04826810262681345
Montenegro,Barley,-0.30469077522893323,0.3866149437218953,0.14234470632025445,yield_lag,17,0.05593452176331017
Montenegro,Rye,-0.5572015662261741,0.36132574500628056,-0.07115975008971909,yield_lag,16,0.010234517969037371
Montenegro,Wheat,-0.1817859690943901,0.4171583349019351,-0.34163852369490905,yield_lag,18,0.08542219620622267
Morocco,Soybeans,-0.44958038721557597,-0.2303790634080435,0.16110936348162855,yield_lead,24,0.036122449068175674
Mozambique,Maize,-0.2726734128140678,0.027738543563143318,0.30331258779925596,yield_lead,22,0.06762730281759892
Nepal,Maize,-0.12016386299863992,0.12703226510398244,0.4040432175432016,yield_lead,24,0.07512955298722461
New Zealand,Maize,-0.6288535050702934,0.16524398656281014,-0.0213301931005827,yield_lag,23,0.004157699037958832
Niger,Potatoes,-0.41169843054099087,0.077422826937218,0.05681263814040734,yield_lag,24,0.09500949952927029
Pakistan,"Rice, paddy",-0.10958354447532861,-0.1600295720452594,0.5594612213902483,yield_lead,24,0.01619041918133832
Papua New Guinea,"Rice, paddy",-0.7118418545857759,-0.5269994940763769,-0.33653606960064497,yield_lead,23,0.08727910736291386
Peru,Potatoes,-0.12703683184398262,0.19230010674748757,0.39285945809287415,yield_lead,24,0.07854195026899564
Peru,Rye,-0.4498328025796657,-0.2770531274300386,0.3945043699207652,yield_lead,23,0.004356082991220182
Republic of Korea,Sorghum,-0.3916699985537535,0.27530356270968503,-0.24382535989133083,yield_lag,24,0.024040666765834832
Sao Tome and Principe,Yams,-0.1371457852060709,0.3858920065127516,-0.05625398306038735,yield_lag,24,0.0774065716309329
Senegal,Cassava,-0.2805344950582075,0.3702754870621162,-0.49114276264005374,yield_lag,23,0.032284034736858494
Senegal,Potatoes,-0.36061972403628645,-0.28232591570950794,0.40389259127131866,yield_lead,24,0.009017735153921649
Slovakia,Pulses nes,-0.25030359774047034,0.4471180567293341,0.1647205708753816,yield_lag,24,0.0169588291837876
South Sudan,Sunflower seed,-0.3858533817622695,0.4342899170926053,0.3709438828760601,yield_lag,12,0.06431593154113142
South Sudan,Yams,-0.20649117964727914,0.5207158797261245,-0.14861532265786612,yield_lag,12,0.09509603974789699
Spain,"Groundnuts, with shell",-0.004215784201079923,-0.267370927869665,0.6013427399067751,yield_lead,18,0.05542110645633196
Sudan,"Rice, paddy",-0.3167259336793739,0.43175897234034305,0.10624152759721035,yield_lag,12,0.0937438178158818
Sudan,Yams,-0.4870396569628314,0.325713209963791,0.0645760067669265,yield_lag,12,0.06489699108789788
Suriname,"Rice, paddy",-0.3752718822989094,-0.5382570154905337,0.17902302021951352,yield_lead,24,0.06219649773419843
Tajikistan,Sunflower seed,0.055424306135787485,-0.001007011163225051,0.631654685304304,yield_lead,24,0.025642127462597496
Timor-Leste,Cassava,-0.3409661939400512,0.10277177848590538,0.32585723876066247,yield_lead,24,0.024654015955339448
Trinidad and Tobago,Cassava,-0.25799070504128707,0.3489769613882205,0.12951313381028431,yield_lag,23,0.04696150441948987
Tunisia,Rapeseed,0.17099940225829435,0.6575860387181512,-0.19408680053033775,yield_lag,24,0.04597850788964206
United Arab Emirates,Wheat,-0.11985772272586342,0.6957937894552473,-0.11461325192252796,yield_lag,9,0.08977086093019199
Uruguay,Barley,-0.36680531091662033,-0.19653290602448203,0.25450733649070595,yield_lead,24,0.03662793335927868
Uruguay,"Groundnuts, with shell",-0.706269026115181,-0.1903018557999128,0.28986798990351137,yield_lead,24,0.00013478225853969832
Venezuela (Bolivarian Republic of),Sorghum,-0.31721408778745563,-0.08341037317854182,0.4347245739374846,yield_lead,23,0.012016764793690743
Viet Nam,Millet,-0.40150081033323426,0.19129044221346467,-0.35292186160633526,yield_lag,23,0.050252575576670094
Zambia,Sorghum,-0.11321639754000472,-0.22470760152061073,0.5402168278943644,yield_lead,23,0.023144611087850007
